423000(2300000),,,,,Swapped position of LNA and SMA cable
1420.079374,0.000637677,,,,
1420.088749,0.000637629,,,,
1420.098124,0.000637319,,,,
1420.107499,0.000637331,,,,
1420.116874,0.000636677,,,,
1420.126249,0.000636569,,,,
1420.135624,0.000637186,,,,
1420.144999,0.00063835,,,,
1420.154374,0.00063784,,,,
1420.163749,0.000637419,,,,
1420.173124,0.000635978,,,,
1420.182499,0.000637169,,,,
1420.191874,0.000637589,,,,
1420.201249,0.000636517,,,,
1420.210624,0.000636982,,,,
1420.219999,0.000637379,,,,
1420.229374,0.000638272,,,,
1420.238749,0.00063718,,,,
1420.248124,0.000643557,,,,
1420.257499,0.000637761,,,,
1420.266874,0.000638452,,,,
1420.276249,0.000639715,,,,
1420.285624,0.000640879,,,,
1420.294999,0.000642878,,,,
1420.304374,0.000644068,,,,
1420.313749,0.000645586,,,,
1420.323124,0.000648951,,,,
1420.332499,0.000651959,,,,
1420.341874,0.000655659,,,,
1420.351249,0.000660977,,,,
1420.360624,0.000666975,,,,
1420.369999,0.000670809,,,,
1420.379374,0.000673084,,,,
1420.388749,0.000674857,,,,
1420.398124,0.000676852,,,,
1420.407499,0.000676953,,,,
1420.416874,0.000677398,,,,
1420.426249,0.000676693,,,,
1420.435624,0.000675405,,,,
1420.444999,0.000673792,,,,
1420.454374,0.000671091,,,,
1420.463749,0.000667358,,,,
1420.473124,0.000663493,,,,
1420.482499,0.000659626,,,,
1420.491874,0.000656676,,,,
1420.501249,0.000654827,,,,
1420.510624,0.000653883,,,,
1420.519999,0.000651592,,,,
1420.529374,0.000649863,,,,
1420.538749,0.000648153,,,,
1420.548124,0.000648946,,,,
